pCO2,u,sigma,Cl,pH,T,P,t_s,Qw,Qo,Fe,SO4,yN2,yCH4,v,yCO2,Na,Ba,Mg,Ca,Sr,HCO3,TSS,TDS,Alk,FP,D,Di,De,TH,e,Qg
19.2171,5.469,501.1799999999999,4.45466,6.6002,246.12,70.0,2.548939082819986,15893.48778,91.11221999999908,0.22902,4.1844,6.93,64.987,16.97861075636223,27.453,66.99799999999999,0.2412,5.958,7.724,0.10662,2.4588,24.68,350.996,245.88,3.0,6.0,3.068,6.625,19.26,5.49,2.733366599999972e-09
35.175,4.717,588.8,9.402459999999998,6.5091,245.58,67.0,21.47397260273972,13709.70669,78.59330999999838,0.213,11.53063,42.208,39.838,1.9433890615676104,52.5,82.22399999999999,0.2649,8.232,16.771,0.4689,2.8097,28.57,412.85,280.97,2.0,6.0,3.068,6.625,41.837,3.91,2.357799299999951e-09
26.703,8.915,437.0,10.633,6.77,248.2,69.0,11.29041095890411,6637.917159999999,23.98284000000058,0.105,8.941,19.2,40.7,7.636610638423898,38.7,45.5,0.27,4.9,16.7,0.4320000000000001,2.04,68.0,306.7,204.0,3.0,3.0,3.068,3.5,41.8,5.49,7.194852000000174e-10
11.85,5.999,495.0,4.505,6.59,246.92,75.0,13.01026694045174,17440.5,59.5,0.234,2.832,2.2,81.8,4.263849121132587,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,6.0,3.068,6.625,19.2,7.11,1.785e-09
9.796,3.489,495.0,4.505,6.59,242.46,62.0,16.55304585900068,10121.8149,83.6851000000006,0.234,2.832,2.2,81.8,5.895416919038969,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,6.0,3.068,6.625,19.2,5.49,2.5105530000000173e-09
3.528,0.261,1031.0,11.534,7.14,165.52,49.0,22.4312114989733,39.24,156.96,0.201,18.428,5.0,87.7,2.350287502967292,7.2,217.1,0.42,11.4,7.0,0.126,5.8,54.0,721.7,580.0,2.0,3.0,2.067,3.5,17.6,5.49,4.708799999999999e-09
23.22,7.757,437.0,10.633,6.77,248.71,60.0,2.105407255304586,22532.45008,85.94991999999911,0.105,8.941,19.2,40.7,20.0,38.7,45.5,0.27,4.9,16.7,0.432,2.04,68.0,306.7,204.0,3.0,6.0,3.068,6.625,41.8,7.11,2.578497599999973e-09
27.456,3.377,598.0000000000001,3.666,6.76,243.15,64.0,12.76112251882272,4309.43066,43.96933999999965,0.151,25.372,13.2,42.7,4.717060817944851,42.9,98.3,0.26,5.300000000000001,8.1,0.038,2.91,98.0,418.3,291.0,2.0,4.0,3.068,4.5,20.2,5.49,1.319080199999989e-09
21.1596,3.981,532.4,9.62148,6.5608,245.65,66.0,18.8993839835729,11574.59748,60.50252,0.166,10.88344,19.108,48.012,2.3107036653012885,32.06,68.312,0.4012,6.916,16.348,0.4172,2.5136,27.16,372.9,251.36,2.0,6.0,3.068,6.625,40.756,6.02,1.8150756e-09
31.275,3.092,638.0,9.873,6.84,243.09,75.0,10.49691991786448,2266.838,46.26200000000017,0.081,8.796,33.9,22.1,1.499225742322117,41.7,75.8,0.35,7.2,30.9,1.178,3.19,22.0,446.7,319.0,2.0,3.0,3.068,3.5,77.1,5.49,1.3878600000000052e-09
30.024,8.915,638.0,9.873,6.84,246.77,72.0,20.88980150581793,11344.254,115.7459999999992,0.081,8.796,33.9,22.1,0.7910135086325217,41.7,75.8,0.35,7.2,30.9,1.178,3.19,22.0,446.6999999999999,319.0,3.0,4.0,3.068,4.5,77.1,5.49,3.472379999999975e-09
13.904,5.358,495.0,4.505,6.59,247.45,88.0,20.88980150581793,15621.72534,32.87465999999949,0.234,2.832,2.2,81.8,0.9605164033394906,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,6.0,3.068,6.625,19.2,5.49,9.862397999999847e-10
23.2388,4.332,456.2,8.450159999999999,6.7036,246.84,65.0,21.14989733059548,12550.97868,106.3213200000009,0.3436,9.89248,12.694,50.67400000000001,2.288051372219249,35.752,52.964,0.4144,6.712,13.456,0.278,2.1692,15.52,320.1,216.92,2.0,6.0,3.068,6.625,32.752,6.02,3.189639600000028e-09
24.024,7.118,598.0,3.666,6.76,248.96,56.0,11.69062286105407,5283.0356,34.56440000000021,0.151,25.372,13.2,42.7,2.355750613140572,42.89999999999999,98.3,0.26,5.3,8.1,0.038,2.91,98.0,418.3,291.0,3.0,3.0,3.068,3.5,20.2,5.49,1.036932000000006e-09
20.28,5.765,430.0,6.185,7.2,248.57,52.0,24.99657768651608,16778.47924,60.62076000000161,0.014,9.036,7.9,52.6,0.8656673939853902,39.0,49.1,0.34,6.4,10.5,0.301,1.97,32.0,301.7,197.0,3.0,6.0,3.068,6.625,26.3,6.02,1.8186228000000481e-09
8.374,0.105,495.0,4.505,6.59,100.11,53.0,11.15400410677618,80.22632,0.573679999999996,0.234,2.832,2.2,81.8,7.971619526940575,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,3.0,3.068,3.5,19.2,6.02,1.721039999999988e-11
